City,Attraction
Mumbai,Gateway of India
Mumbai,Marine Drive
Mumbai,Elephanta Caves
Mumbai,Chhatrapati Shivaji Museum
Mumbai,Juhu Beach
Delhi,Red Fort
Delhi,India Gate
Delhi,Qutub Minar
Delhi,Lotus Temple
Delhi,Humayunâ€™s Tomb
Bangalore,Lalbagh Botanical Garden
Bangalore,Cubbon Park
Bangalore,Bangalore Palace
Bangalore,Bannerghatta Zoo
Bangalore,Vidhana Soudha
Chennai,Marina Beach
Chennai,Kapaleeshwarar Temple
Chennai,Fort St. George
Chennai,Santhome Basilica
Chennai,Government Museum
Indore,Rajwada Palace
Indore,Lal Bagh Palace
Indore,Kanch Mandir
Indore,Sarafa Bazaar
Indore,Patalpani Waterfall
Vellore,Vellore Fort
Vellore,Jalakandeswarar Temple
Vellore,Golden Temple
Vellore,Archaeological Museum
Vellore,Amirthi Zoological Park
Kolkata,Victoria Memorial
Kolkata,Howrah Bridge
Kolkata,Indian Museum
Kolkata,Kalighat Temple
Kolkata,Eco Park
Udaipur,City Palace
Udaipur,Lake Pichola
Udaipur,Jag Mandir
Udaipur,Saheliyon Ki Bari
Udaipur,Fateh Sagar Lake
Jaipur,Hawa Mahal
Jaipur,Amber Fort
Jaipur,Jantar Mantar
Jaipur,City Palace
Jaipur,Jal Mahal
